,nb_code,area,population,lat,lon
266,10566,"Peekskill, New York",22441,41.287672,-73.91778599999999
267,11776,"Port Jefferson Station, New York",22440,40.913812,-73.046148
268,10708,"Bronxville, New York",22411,40.937467,-73.83314399999999
269,M9M,"Emery, Humberlea",22263,43.7247659,-79.53224240000002
270,11783,"Seaford, New York",22162,40.673140000000004,-73.491849
271,M1N,"Birch Cliff, Cliffside West",22136,43.692657,-79.2648481
272,10901,"Suffern, New York",21760,41.161496,-74.139021
273,10039,"New York, New York",21737,40.826296,-73.937053
274,11768,"Northport, New York",21676,40.910132,-73.324377
275,10591,"Tarrytown, New York",21590,41.090097,-73.841014
276,M8Y,"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea",21299,43.6362579,-79.49850909999998
277,11411,"Cambria Heights, New York",21282,40.694307,-73.735948
278,M6A,"Lawrence Heights, Lawrence Manor",21048,43.718518,-79.46476329999999
279,11428,"Queens Village, New York",21023,40.72105,-73.742212
280,11415,"Kew Gardens, New York",20956,40.708228999999996,-73.827867
281,M9P,Westmount,20874,43.696319,-79.53224240000002
282,M4X,"Cabbagetown, St. James Town",20822,43.667967,-79.3676753
283,M8W,"Alderwood, Long Branch",20674,43.60241370000001,-79.54348409999999
284,M6L,"Downsview, North Park, Upwood Park",20616,43.71375620000001,-79.4900738
285,11356,"College Point, New York",20444,40.78481,-73.841165
286,10703,"Yonkers, New York",20410,40.957236,-73.881126
287,11733,"East Setauket, New York",20382,40.934181,-73.105889
288,11581,"Valley Stream, New York",20094,40.652229,-73.714706
289,M4P,Davisville North,20039,43.7127511,-79.3901975
290,10552,"Mount Vernon, New York",19948,40.924459999999996,-73.826115
291,M6R,"Parkdale, Roncesvalles",19857,43.6489597,-79.456325
292,M4H,Thorncliffe Park,19688,43.7053689,-79.34937190000002
293,11021,"Great Neck, New York",19623,40.786114000000005,-73.728183
294,10543,"Mamaroneck, New York",19427,40.953742999999996,-73.73618
295,M5P,"Forest Hill North, Forest Hill West",19423,43.6969476,-79.41130720000002
296,11360,"Bayside, New York",19350,40.782352,-73.780749
297,10990,"Warwick, New York",19315,41.269726,-74.366389
298,11694,"Rockaway Park, New York",19278,40.576906,-73.84638100000001
299,11501,"Mineola, New York",19111,40.746062,-73.639285
300,M4G,Leaside,19076,43.7090604,-79.3634517
301,10509,"Brewster, New York",18913,41.42236,-73.58015400000001
302,11754,"Kings Park, New York",18847,40.886865,-73.245725
303,10036,"New York, New York",18751,40.759614,-73.991148
304,11426,"Bellerose, New York",18727,40.736619,-73.72361
305,M4B,"Woodbine Gardens, Parkview Hill",18628,43.7063972,-79.309937
306,11790,"Stony Brook, New York",18374,40.903591999999996,-73.131054
307,M4V,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",18241,43.68641229999999,-79.4000493
308,11436,"Jamaica, New York",18148,40.675266,-73.79656999999999
309,10805,"New Rochelle, New York",17957,40.897721000000004,-73.779258
310,10567,"Cortlandt Manor, New York",17805,41.289545000000004,-73.89703
311,M5T,"Chinatown, Grange Park, Kensington Market",17748,43.6532057,-79.4000493
312,11726,"Copiague, New York",17737,40.678789,-73.395729
313,11362,"Little Neck, New York",17502,40.758401,-73.73342
314,10605,"White Plains, New York",17414,41.007018,-73.744338
315,M3L,Downsview West,17339,43.7390146,-79.5069436
316,10001,"New York, New York",17310,40.750721999999996,-73.997276
317,11030,"Manhasset, New York",17148,40.793409000000004,-73.688549
318,M8Z,"Kingsway Park South West, Mimico NW, The Queensway West, Royal York South West, South of Bloor",17038,43.6288408,-79.52099940000002
319,10037,"New York, New York",16984,40.813159000000006,-73.937352
320,11788,"Hauppauge, New York",16836,40.817677,-73.210123
321,11738,"Farmingville, New York",16811,40.837385999999995,-73.037968
322,10538,"Larchmont, New York",16780,40.937865,-73.75593
323,10580,"Rye, New York",16737,40.978941999999996,-73.69332
324,M5N,Roselawn,16610,43.7116948,-79.41693559999999
325,10302,"Staten Island, New York",16406,40.63082,-74.13784100000001
326,10603,"White Plains, New York",16389,41.057813,-73.77719599999999
327,11703,"North Babylon, New York",16336,40.73267,-73.325925
328,10017,"New York, New York",16201,40.752292,-73.97239300000001
329,11747,"Melville, New York",16152,40.788528,-73.407298
330,11730,"East Islip, New York",16050,40.72068,-73.172384
331,11575,"Roosevelt, New York",15975,40.679763,-73.584023
332,11782,"Sayville, New York",15897,40.753968,-73.099453
333,11692,"Arverne, New York",15893,40.593163,-73.793803
334,10470,"Bronx, New York",15780,40.900965,-73.863998
335,10606,"White Plains, New York",15733,41.020949,-73.775986
336,10038,"New York, New York",15574,40.709336,-74.002943
337,M5S,"Harbord, University of Toronto",15372,43.6626956,-79.4000493
338,M4N,Lawrence Park,15330,43.7280205,-79.3887901
339,10549,"Mount Kisco, New York",15327,41.203948,-73.718025
340,11798,"Wyandanch, New York",15199,40.751870000000004,-73.371077
341,M1X,Upper Rouge,15097,43.836124700000006,-79.20563609999998
342,11751,"Islip, New York",15083,40.733051,-73.212519
343,11702,"Babylon, New York",14975,40.618005,-73.407877
344,11780,"Saint James, New York",14920,40.890431,-73.171453
345,10960,"Nyack, New York",14687,41.092282,-73.925728
346,11004,"Glen Oaks, New York",14682,40.745809,-73.71124
347,11239,"Brooklyn, New York",14620,40.644728,-73.879186
348,11950,"Mastic, New York",14583,40.809045000000005,-72.84722099999999
349,M4W,Rosedale,14561,43.6795626,-79.37752940000001
350,M5J,"Harbourfront East, Toronto Islands, Union Station",14545,43.6408157,-79.38175229999997
351,10965,"Pearl River, New York",14522,41.061482,-74.01590999999999
352,M4A,Victoria Village,14443,43.7258823,-79.31557159999998
353,10804,"New Rochelle, New York",14131,40.946841,-73.788051
354,11767,"Nesconset, New York",13841,40.847753999999995,-73.145703
355,11366,"Fresh Meadows, New York",13366,40.727928999999996,-73.793074
356,M3B,Don Mills North,13324,43.7459058,-79.352188
357,11937,"East Hampton, New York",13289,41.008427000000005,-72.194482
358,11598,"Woodmere, New York",13226,40.631555,-73.71128
359,10941,"Middletown, New York",13118,41.491652,-74.34424
360,11946,"Hampton Bays, New York",12802,40.881714,-72.536582
361,11951,"Mastic Beach, New York",12794,40.767062,-72.838578
362,M5B,"Ryerson, Garden District",12785,43.6571618,-79.37893709999999
363,10980,"Stony Point, New York",12670,41.258097,-74.03015699999999
364,11961,"Ridge, New York",12664,40.893355,-72.877865
365,10520,"Croton On Hudson, New York",12590,41.217976,-73.874882
366,10530,"Hartsdale, New York",12453,41.023711999999996,-73.81281
367,10570,"Pleasantville, New York",12366,41.127957,-73.790628
368,11953,"Middle Island, New York",12364,40.893285,-72.951799
369,10528,"Harrison, New York",12312,40.974752,-73.72577700000001
370,10924,"Goshen, New York",12308,41.381005,-74.352471
371,11577,"Roslyn Heights, New York",12176,40.784638,-73.640578
372,10803,"Pelham, New York",12124,40.899532,-73.805883
373,11742,"Holtsville, New York",12119,40.809944,-73.040545
374,11545,"Glen Head, New York",12073,40.824965999999996,-73.581551
375,11968,"Southampton, New York",12032,40.905916999999995,-72.41565600000001
376,10514,"Chappaqua, New York",12004,41.17233,-73.768948
377,M9L,Humber Summit,11950,43.7563033,-79.56596329999998
378,11576,"Roslyn, New York",11810,40.803242,-73.63748000000001
379,M2L,"Silver Hills, York Mills",11717,43.7574902,-79.37471409999998
380,10307,"Staten Island, New York",11669,40.506815,-74.241709
381,11753,"Jericho, New York",11648,40.788668,-73.541676
382,11778,"Rocky Point, New York",11514,40.939095,-72.92845600000001
383,10918,"Chester, New York",11492,41.344192,-74.26217700000001
384,11755,"Lake Grove, New York",11402,40.858961,-73.120478
385,M4R,North Toronto West,11394,43.7153834,-79.40567840000001
386,11949,"Manorville, New York",11385,40.860476,-72.793791
387,10474,"Bronx, New York",11354,40.810203,-73.884437
388,11518,"East Rockaway, New York",11202,40.638346000000006,-73.66629499999999
389,11693,"Far Rockaway, New York",11157,40.611082,-73.822757
390,11764,"Miller Place, New York",11120,40.934197,-72.97516
391,M8X,"The Kingsway, Montgomery Road, Old Mill North",10787,43.65365360000001,-79.5069436
392,10522,"Dobbs Ferry, New York",10622,41.01031,-73.86374599999999
393,10536,"Katonah, New York",10612,41.29692,-73.729864
394,11596,"Williston Park, New York",10572,40.760589,-73.640783
395,M4T,"Moore Park, Summerhill East",10463,43.6895743,-79.38315990000002
396,10604,"West Harrison, New York",10430,41.052797999999996,-73.73695699999999
397,11716,"Bohemia, New York",10360,40.776697,-73.134857
398,10927,"Haverstraw, New York",10117,41.191052,-73.967562
399,10553,"Mount Vernon, New York",10102,40.908502,-73.821554
400,10510,"Briarcliff Manor, New York",9963,41.138996999999996,-73.834891
401,11752,"Islip Terrace, New York",9881,40.755849,-73.17378000000001
402,11769,"Oakdale, New York",9729,40.736277,-73.129837
403,11740,"Greenlawn, New York",9647,40.865796,-73.363314
404,11771,"Oyster Bay, New York",9550,40.865967,-73.52587700000001
405,10044,"New York, New York",9520,40.76205,-73.949933
406,10707,"Tuckahoe, New York",9447,40.959962,-73.822722
407,10989,"Valley Cottage, New York",9381,41.122955,-73.93803100000001
408,10992,"Washingtonville, New York",9367,41.42199,-74.1638
409,11766,"Mount Sinai, New York",9365,40.935097,-73.01586400000001
410,10923,"Garnerville, New York",9273,41.203213,-74.002535
411,10970,"Pomona, New York",9222,41.19767,-74.07413000000001
412,10706,"Hastings On Hudson, New York",9187,40.990221999999996,-73.865543
413,11713,"Bellport, New York",9160,40.773594,-72.94543399999999
414,11565,"Malverne, New York",9140,40.675062,-73.671934
415,M5E,Berczy Park,9118,43.6447708,-79.3733064
416,10709,"Eastchester, New York",9093,40.952626,-73.809927
417,11777,"Port Jefferson, New York",9025,40.949875,-73.061723
418,11797,"Woodbury, New York",9005,40.820347999999996,-73.472077
419,10601,"White Plains, New York",8991,41.029565999999996,-73.75920699999999
420,10920,"Congers, New York",8937,41.153040000000004,-73.938131
421,11558,"Island Park, New York",8553,40.611321999999994,-73.66233100000001
422,10547,"Mohegan Lake, New York",8544,41.308707,-73.855615
423,11023,"Great Neck, New York",8501,40.799784,-73.73344499999999
424,M5G,Central Bay Street,8423,43.6579524,-79.3873826
425,11559,"Lawrence, New York",8103,40.60548,-73.716208
